"id","ref_order_code","ref_product_code","ref_product_brand","ref_product_name","ref_product_price","ref_product_color","ref_product_storage","product_type","deposit","finance","increase","increase_amount","commission_admin","finance_befor_tax","sales_tax","finance_amount","finance_cost","cost_report_rd","installment_amount","installment_number","finance_per_month","increase_per_month","sales_tax_per_month","installment_total","processing","detail_quantity","detail_amount","detail_status","mobile_imei","mobile_serial_no","created_by","created_at","updated_at","updated_by"
"12","REQ2504-00012","358388751816510","Apple","iPhone 15 128 Gb สีดำ","19900","5","128 Gb","2","7960","0","1.819","0","0","0","0","11940","0","0","2171.89","10","0","0","0","21718.9","0","1","29678.9","1","358388751816510","KV0V9GXK3M","admins","2025-04-10 14:33:57","2025-04-10 14:34:35","admins"
"13","REQ2504-00013","358592372957369","Apple","iPhone 13 Pro Max 256 Gb สีทอง","21900","23","256 Gb","2","6600","0","1.819","0","0","0","0","15300","0","0","2783.07","10","0","0","0","27830.7","0","1","34430.7","1","358592372957369","G3MY9R36R4","nicha","2025-04-18 12:10:01","2025-04-18 12:11:41","nicha"
"14","REQ2504-00014","358547323692788","Apple","iPhone 14 Pro Max 128 Gb สีเงิน","25900","11","128 Gb","2","14000","0","1.819","0","0","0","0","11900","0","0","2164.61","10","0","0","0","21646.1","0","1","35646.1","1","358547323692788","J344R70Y7F","nicha","2025-04-18 14:39:57","2025-04-18 14:41:29","nicha"
"15","REQ2504-00015","353523524293713","Apple","iPhone 13 128 Gb สีมิดไนท์","15900","27","128 Gb","1","6000","0","1.819","0","0","0","0","9900","0","0","1800.81","10","0","0","0","18008.1","0","1","24008.1","1","353523524293713","JX0HDJ165J","nicha","2025-04-18 17:16:48","2025-04-18 17:17:49","nicha"
"16","REQ2504-00016","352632926777313","Apple","iPhone 14 Pro Max 256 Gb สีบลูไทเทเนียม","26900","20","256 Gb","2","10000","0","1.819","0","0","0","0","16900","0","0","3073.11","10","0","0","0","30731.1","0","1","40731.1","1","352632926777313","LMVMVPVDXG","admins","2025-04-19 18:01:17","2025-04-19 18:01:47","admins"
"17","REQ2504-00017","353919106770120","Apple","iPhone 11 Pro Max 256 Gb สีขาว","12500","4","256 Gb","2","2500","0","1.819","0","0","0","0","10000","0","0","1819","10","0","0","0","18190","0","1","20690","1","353919106770120","FK1ZV2LKN70Y","nicha","2025-04-23 16:05:39","2025-04-23 16:07:52","nicha"
"18","REQ2504-00018","350078585092275","Apple","iPhone 13 128 Gb สีขาว","15900","4","128 Gb","1","4800","0","1.819","0","0","0","0","11100","0","0","2019.09","10","0","0","0","20190.9","0","1","24990.9","1","350078585092275","W5M95FWDVF","admins","2025-04-25 15:10:24","2025-04-25 15:11:37","admins"
"19","REQ2504-00019","351232992179014","Apple","iPhone 12 Pro Max 256 Gb แปซิฟิกบลู","16900","24","256 Gb","2","3400","13500","1.82","24570","1350","39420","2759.4","42179.4","14850","35478","4217.94","10","1485","2457","275.94","42179.4","0","1","45579.4","1","351232992179014","F2LDVL2T0D56","nicha","2025-04-28 13:02:44","2025-04-28 13:03:50","nicha"
"20","REQ2504-00020","351232992179014","Apple","iPhone 12 Pro Max 256 Gb แปซิฟิกบลู","16900","24","256 Gb","2","3400","13500","1","13500","1350","28350","1984.5","30334.5","14850","25515","3033.45","10","1485","1350","198.45","30334.5","0","1","33734.5","1","351232992179014","F2LDVL2T0D56","admins","2025-04-28 13:56:09","2025-04-28 15:24:17","admins"
"21","REQ2504-00021","351232992179014","Apple","iPhone 12 Pro Max 256 Gb แปซิฟิกบลู","16900","24","256 Gb","2","3400","13500","0.6","8100","1350","22950","1606.5","24556.5","14850","20655","2455.65","10","1485","810","160.65","24556.5","0","1","27956.5","1","351232992179014","F2LDVL2T0D56","nicha","2025-04-28 15:52:47","2025-04-28 15:53:28","nicha"
"22","REQ2504-00022","356758347787148","Apple","iPhone 15 128 Gb สีดำ","20900","5","128 Gb","2","9000","11900","0.6","7140","1190","20230","1416.1","21646.1","13090","18207","2164.61","10","1309","714","141.61","21646.1","0","1","30646.1","1","356758347787148","่J3W3RQVJ7M","nicha","2025-04-29 10:49:18","2025-04-29 10:52:47","nicha"
"23","REQ2504-00023","P01010201552-1","Apple","iPhone 15 128 Gb สีดำ","19900","5","128 Gb","2","4000","15900","0.6","9540","1590","27030","1892.1","28922.1","17490","24327","2892.21","10","1749","954","189.21","28922.1","0","1","32922.1","1","351072501929545","่่J1YV0QV307","nicha","2025-04-29 17:23:07","2025-04-29 17:25:31","nicha"
"24","REQ2504-00024","35099779466092","Apple","iPhone 14 Pro Max 256 Gb สีเงิน","26900","11","256 Gb","2","5400","21500","0.6","12900","2150","36550","2558.5","39108.5","23650","32895","3910.85","10","2365","1290","255.85","39108.5","0","1","44508.5","1","35099779466092","C4J5WXV7CP","nicha","2025-04-30 10:12:29","2025-04-30 16:08:09","nicha"
"25","REQ2505-00025","356703851575653","Apple","iPhone 14 Pro Max 256 Gb สีม่วง","26900","1","256 Gb","2","5400","21500","0.6","12900","2150","36550","2558.5","39108.5","23650","32895","3910.85","10","2365","1290","255.85","39108.5","0","1","44508.5","1","356703851575653","่JM41L6CVPD","nicha","2025-05-03 15:48:02","2025-05-03 15:49:20","nicha"
"26","REQ2505-00026","356370591499683","Apple","iPhone 13 128 Gb สีมิดไนท์","15900","27","128 Gb","1","4800","11100","0.6","6660","1110","18870","1320.9","20190.9","12210","16983","2019.09","10","1221","666","132.09","20190.9","0","1","24990.9","1","356370591499683","DV7PJ7JNQ9","nicha","2025-05-04 16:17:15","2025-05-04 16:18:26","nicha"
"27","REQ2505-00027","356370598669635","Apple","iPhone 13 128 Gb สีขาว","15900","4","128 Gb","1","5000","10900","0.6","6540","1090","18530","1297.1","19827.1","11990","16677","1982.71","10","1199","654","129.71","19827.1","0","1","24827.1","1","356370598669635","JJQ32XM6F3","nicha","2025-05-05 12:46:01","2025-05-05 12:46:58","nicha"
"28","REQ2505-00028","359206404584955","Apple","iPhone 13 Pro 128 Gb สีขาว","17900","4","128 Gb","2","3600","14300","0.6","8580","1430","24310","1701.7","26011.7","15730","21879","2601.17","10","1573","858","170.17","26011.7","0","1","29611.7","1","359206404584955","H52506PJQW","admins","2025-05-14 16:09:58","2025-05-14 16:12:02","admins"
"29","REQ2505-00029","350165054723595","Apple","iPhone 13 Pro 256 Gb สีเซียร์ร่าบลู","18500","10","256 Gb","2","3700","14800","0.6","8880","1480","25160","1761.2","26921.2","16280","22644","2692.12","10","1628","888","176.12","26921.2","0","1","30621.2","1","350165054723595","RXFPM220KY","admins","2025-05-16 13:03:56","2025-05-16 13:05:37","admins"
"30","REQ2505-00030","359451187861010","Apple","iPhone 13 128 Gb สีมิดไนท์","14500","27","128 Gb","2","2900","11600","0.6","6960","1160","19720","1380.4","21100.4","12760","17748","2110.04","10","1276","696","138.04","21100.4","0","1","24000.4","1","359451187861010","FX6577F56W","admins","2025-05-16 17:47:06","2025-05-16 17:48:12","admins"
"31","REQ2505-00031","359793756971112","Apple","iPhone 15 Plus 128 Gb สีดำ","23500","5","128 Gb","2","4700","18800","0.6","11280","1880","31960","2237.2","34197.2","20680","28764","3419.72","10","2068","1128","223.72","34197.2","0","1","38897.2","1","359793756971112","DV64MXY4G1","admins","2025-05-19 11:14:44","2025-05-19 11:16:52","admins"
"32","REQ2505-00032","350110761339368","Apple","iPhone 15 Plus 128 Gb สีฟ้า","23500","17","128 Gb","2","7000","16500","0.6","9900","1650","28050","1963.5","30013.5","18150","25245","3001.35","10","1815","990","196.35","30013.5","0","1","37013.5","1","350110761339368","่J6Y6G2CR67","admins","2025-05-19 12:03:06","2025-05-19 12:04:09","admins"
"33","REQ2505-00033","359663607784271","Apple","iPhone 13 Pro 128 Gb สีขาว","17900","4","128 Gb","2","3600","14300","0.6","8580","1430","24310","1701.7","26011.7","15730","21879","2601.17","10","1573","858","170.17","26011.7","0","1","29611.7","1","359663607784271","X0529L69GT","admins","2025-05-21 12:31:49","2025-05-21 12:32:50","admins"
"34","REQ2505-00034","352860111785250","Apple","iPhone 11 Pro Max 256 Gb เทาสเปซเกรย์","12500","21","256 Gb","2","2500","10000","0.6","6000","1000","17000","1190","18190","11000","15300","1819","10","1100","600","119","18190","0","1","20690","1","352860111785250","FK1D60VVN70X","admins","2025-05-22 14:00:15","2025-05-22 14:03:26","admins"
"35","REQ2505-00035","357593322577522","Apple","iPhone 11 64 Gb สีม่วง","9000","1","64 Gb","2","1800","7200","0.6","4320","720","12240","856.8","13096.8","7920","11016","1309.68","10","792","432","85.68","13096.8","0","1","14896.8","1","357593322577522","DX3F609EN739","admins","2025-05-23 10:20:51","2025-05-23 10:21:40","admins"
"36","REQ2505-00036","359451180765945","Apple","iPhone 13 128 Gb สีขาว","14500","4","128 Gb","2","2900","11600","0.6","6960","1160","19720","1380.4","21100.4","12760","17748","2110.04","10","1276","696","138.04","21100.4","0","1","24000.4","1","359451180765945","RMQ66FKQ2W","admins","2025-05-23 11:19:54","2025-05-23 11:20:35","admins"
"37","REQ2505-00037","353514355598486","Apple","iPhone 14 128 Gb สีม่วง","16900","1","128 Gb","2","6800","10100","0.6","6060","1010","17170","1201.9","18371.9","11110","15453","1837.19","10","1111","606","120.19","18371.9","0","1","25171.9","1","353514355598486","JCJ9XQ759W","admins","2025-05-24 11:44:29","2025-05-24 11:45:31","admins"
"38","REQ2505-00038","352622995206047","Apple","iPhone 12 Pro 128 Gb สีกราไฟต์","14500","13","128 Gb","2","2900","11600","0.6","6960","1160","19720","1380.4","21100.4","12760","17748","2110.04","10","1276","696","138.04","21100.4","0","1","24000.4","1","352622995206047","G6TFG4JK0D8X","admins","2025-05-24 14:02:30","2025-05-24 14:03:27","admins"
"39","REQ2505-00039","357514593627531","Apple","iPhone 13 128 Gb สีขาว","16500","4","128 Gb","1","5800","10700","0.6","6420","1070","18190","1273.3","19463.3","11770","16371","1946.33","10","1177","642","127.33","19463.3","0","1","25263.3","1","357514593627531","M6VCWFF4YN","admins","2025-05-24 15:07:01","2025-05-24 15:07:29","admins"
"40","REQ2505-00040","358275388335776","Apple","iPhone 13 Pro Max 128 Gb สีเซียร์ร่าบลู","20900","10","128 Gb","2","10000","10900","0.6","6540","1090","18530","1297.1","19827.1","11990","16677","1982.71","10","1199","654","129.71","19827.1","0","1","29827.1","1","358275388335776","KGCVYH5QQ4","admins","2025-05-26 16:23:57","2025-05-26 16:25:19","admins"
"41","REQ2505-00041","353920105142774","Apple","iPhone 11 Pro Max 64 Gb สีมิดไนท์","11500","27","64 Gb","2","2300","9200","0.6","5520","920","15640","1094.8","16734.8","10120","14076","1673.48","10","1012","552","109.48","16734.8","0","1","19034.8","1","353920105142774","F2LZP1FEN70W","admins","2025-05-26 18:36:56","2025-05-26 18:37:54","admins"
"42","REQ2505-00042","353926104662936","Apple","iPhone 11 Pro Max 64 Gb สีมิดไนท์","11500","27","64 Gb","2","2300","9200","0.6","5520","920","15640","1094.8","16734.8","10120","14076","1673.48","10","1012","552","109.48","16734.8","0","1","19034.8","1","353926104662936","F2LZN060N70W","admins","2025-05-26 18:49:24","2025-05-26 18:50:53","admins"
"43","REQ2505-00043","354504892911341","Apple","iPhone 13 Pro 128 Gb สีเซียร์ร่าบลู","17900","10","128 Gb","2","3600","14300","0.6","8580","1430","24310","1701.7","26011.7","15730","21879","2601.17","10","1573","858","170.17","26011.7","0","1","29611.7","1","354504892911341","M6GX5RWLY4","admins","2025-05-27 10:53:13","2025-05-27 10:54:21","admins"
"44","REQ2505-00044","352858111902826","Apple","iPhone 11 Pro Max 256 Gb สีทอง","12500","12","256 Gb","2","2500","10000","0.6","6000","1000","17000","1190","18190","11000","15300","1819","10","1100","600","119","18190","0","1","20690","1","352858111902826","FK1D611SN710","admins","2025-05-27 12:05:54","2025-05-27 12:08:37","admins"
"45","REQ2505-00045","353924107332748","Apple","iPhone 11 Pro Max 64 Gb สีทอง","11000","12","64 Gb","2","2200","8800","0.6","5280","880","14960","1047.2","16007.2","9680","13464","1600.72","10","968","528","104.72","16007.2","0","1","18207.2","1","353924107332748","FK1ZX0QYN70V","admins","2025-05-28 14:03:30","2025-05-28 14:05:03","admins"
"46","REQ2505-00046","357514592325996","Apple","iPhone 13 128 Gb สีขาว","16500","4","128 Gb","1","5000","11500","0.6","6900","1150","19550","1368.5","20918.5","12650","17595","2091.85","10","1265","690","136.85","20918.5","0","1","25918.5","1","357514592325996","FY63JM7N7M","admins","2025-05-29 13:37:34","2025-05-29 13:38:31","admins"
"47","REQ2505-00047","352544479940125","Apple","iPhone 13 Pro 128 Gb สีเซียร์ร่าบลู","17900","10","128 Gb","2","3600","14300","0.6","8580","1430","24310","1701.7","26011.7","15730","21879","2601.17","10","1573","858","170.17","26011.7","0","1","29611.7","1","352544479940125","H6K272YTHL","admins","2025-05-30 10:35:00","2025-05-30 10:36:32","admins"
"48","REQ2505-00048","354300901223707","Apple","iPhone 13 128 Gb สีฟ้า","13500","17","128 Gb","2","2700","10800","0.6","6480","1080","18360","1285.2","19645.2","11880","16524","1964.52","10","1188","648","128.52","19645.2","0","1","22345.2","1","354300901223707","DT77RDH9NL","admins","2025-05-31 11:22:13","2025-05-31 11:23:15","admins"
"49","REQ2506-00049","356194443736153","Apple","iPhone 12 Pro Max 256 Gb สีทอง","16900","12","256 Gb","2","3400","13500","0.6","8100","1350","22950","1606.5","24556.5","14850","20655","2455.65","10","1485","810","160.65","24556.5","0","1","27956.5","1","356194443736153","F2LDWHEX0D55","admins","2025-06-01 15:28:02","2025-06-01 15:30:00","admins"
"50","REQ2506-00050","350283166160547","Apple","iPhone 13 Pro 128 Gb สีดำ","17900","5","128 Gb","2","3600","14300","0.6","8580","1430","24310","1701.7","26011.7","15730","21879","2601.17","10","1573","858","170.17","26011.7","0","1","29611.7","1","350283166160547","HQY4WGW25D","admins","2025-06-01 16:39:05","2025-06-01 16:40:25","admins"
"51","REQ2506-00051","357261914600736","Apple","iPhone 15 128 Gb สีฟ้า","20900","17","128 Gb","2","4200","16700","0.6","10020","1670","28390","1987.3","30377.3","18370","25551","3037.73","10","1837","1002","198.73","30377.3","0","1","34577.3","1","357261914600736","JHMXW6L3P7","admins","2025-06-01 17:33:16","2025-06-01 17:34:51","admins"
"52","REQ2506-00052","351264782264789","Apple","iPhone 13 128 Gb สีขาว","14500","4","128 Gb","2","2900","11600","0.6","6960","1160","19720","1380.4","21100.4","12760","17748","2110.04","10","1276","696","138.04","21100.4","0","1","24000.4","1","351264782264789","VP37G7JVC4","admins","2025-06-01 17:55:43","2025-06-01 17:56:50","admins"
"53","REQ2506-00053","359130338599378","Apple","iPhone 11 128 Gb สีดำ","10000","5","128 Gb","2","2000","8000","0.6","4800","800","13600","952","14552","8800","12240","1455.2","10","880","480","95.2","14552","0","1","16552","1","359130338599378","DX5F85C5N73D","admins","2025-06-02 15:39:04","2025-06-02 15:40:13","admins"
"54","REQ2506-00054","356370590252851","Apple","iPhone 13 128 Gb สีมิดไนท์","15900","27","128 Gb","1","4800","11100","0.6","6660","1110","18870","1320.9","20190.9","12210","16983","2019.09","10","1221","666","132.09","20190.9","0","1","24990.9","1","356370590252851","F0H067M34Y","admins","2025-06-03 13:16:02","2025-06-03 13:17:12","admins"
"55","REQ2506-00055","352224775639297","Apple","iPhone 11 64 Gb สีดำ","9000","5","64 Gb","2","1800","7200","0.6","4320","720","12240","856.8","13096.8","7920","11016","1309.68","10","792","432","85.68","13096.8","0","1","14896.8","1","352224775639297","DX4HFPEHN735","admins","2025-06-04 11:29:48","2025-06-04 11:32:24","admins"
"56","REQ2506-00056","357498448116934","Apple","iPhone 15 128 Gb สีฟ้า","19900","17","128 Gb","2","4000","15900","0.6","9540","1590","27030","1892.1","28922.1","17490","24327","2892.21","10","1749","954","189.21","28922.1","0","1","32922.1","1","357498448116934","Q41J1XT6YF","admins","2025-06-05 13:07:35","2025-06-05 13:08:56","admins"
"57","REQ2506-00057","353909101438229","Apple","iPhone 11 Pro Max 64 Gb เทาสเปซเกรย์","11500","21","64 Gb","2","2300","9200","0.6","5520","920","15640","1094.8","16734.8","10120","14076","1673.48","10","1012","552","109.48","16734.8","0","1","19034.8","1","353909101438229","FK1ZM55HN70R","admins","2025-06-06 12:08:21","2025-06-06 12:09:25","admins"
"58","REQ2506-00058","354692273180170","Apple","iPhone 12 Pro Max 128 Gb สีกราไฟต์","15900","13","128 Gb","2","3200","12700","0.6","7620","1270","21590","1511.3","23101.3","13970","19431","2310.13","10","1397","762","151.13","23101.3","0","1","26301.3","1","354692273180170","G0NFN45E0D4Y","admins","2025-06-07 10:37:29","2025-06-07 10:38:47","admins"
"59","REQ2506-00059","354504891861935","Apple","iPhone 13 Pro 128 Gb สีขาว","17900","4","128 Gb","2","3600","14300","0.6","8580","1430","24310","1701.7","26011.7","15730","21879","2601.17","10","1573","858","170.17","26011.7","0","1","29611.7","1","354504891861935","JDWNJ61L7H","admins","2025-06-07 17:11:54","2025-06-07 17:12:48","admins"
"60","REQ2506-00060","351660788605752","Apple","iPhone 13 128 Gb สีขาว","14900","4","128 Gb","2","3000","11900","0.6","7140","1190","20230","1416.1","21646.1","13090","18207","2164.61","10","1309","714","141.61","21646.1","0","1","24646.1","1","351660788605752","G4447GJ2RQ","admins","2025-06-08 15:10:22","2025-06-08 15:11:15","admins"
"61","REQ2506-00061","351037758547316","Apple","iPhone 11 64 Gb สีขาว","9000","4","64 Gb","2","1800","7200","0.6","4320","720","12240","856.8","13096.8","7920","11016","1309.68","10","792","432","85.68","13096.8","0","1","14896.8","1","351037758547316","FFWL1BMMN736","admins","2025-06-08 16:23:45","2025-06-08 16:24:41","admins"
"62","REQ2506-00062","351559309678654","Apple","iPhone 13 Pro 128 Gb สีเซียร์ร่าบลู","17900","10","128 Gb","2","3600","14300","0.6","8580","1430","24310","1701.7","26011.7","15730","21879","2601.17","10","1573","858","170.17","26011.7","0","1","29611.7","1","351559309678654","MJQ3N4VRX0","admins","2025-06-10 11:50:00","2025-06-10 11:51:15","admins"
"63","REQ2506-00063","356575102443372","Apple","iPhone 11 128 Gb สีม่วง","10000","1","128 Gb","2","2000","8000","0.6","4800","800","13600","952","14552","8800","12240","1455.2","10","880","480","95.2","14552","0","1","16552","1","356575102443372","F4GZRBQ3N73J","admins","2025-06-13 13:32:48","2025-06-13 13:34:54","admins"
"64","REQ2506-00064","356694119229193","Apple","iPhone 12 Pro 256 Gb แปซิฟิกบลู","14500","24","256 Gb","2","2900","11600","0.6","6960","1160","19720","1380.4","21100.4","12760","17748","2110.04","10","1276","696","138.04","21100.4","0","1","24000.4","1","356694119229193","G6TDQ0Z80D95","admins","2025-06-17 13:03:59","2025-06-17 13:04:57","admins"
"65","REQ2506-00065","350367278366231","Apple","iPhone 13 Pro 256 Gb สีเซียร์ร่าบลู","18900","10","256 Gb","2","3800","15100","0.6","9060","1510","25670","1796.9","27466.9","16610","23103","2746.69","10","1661","906","179.69","27466.9","0","1","31266.9","1","350367278366231","K9YF999GF0","admins","2025-06-20 13:27:52","2025-06-20 13:29:40","admins"
"66","REQ2506-00066","354786257715744","Apple","iPhone 13 Pro Max 128 Gb สีเซียร์ร่าบลู","20900","10","128 Gb","2","4200","16700","0.6","10020","1670","28390","1987.3","30377.3","18370","25551","3037.73","10","1837","1002","198.73","30377.3","0","1","34577.3","1","354786257715744","NNVXM4GJY2","admins","2025-06-21 14:45:26","2025-06-21 14:47:02","admins"
"67","REQ2506-00067","356194446520182","Apple","iPhone 12 Pro Max 128 Gb สีกราไฟต์","15900","13","128 Gb","2","3200","12700","0.6","7620","1270","21590","1511.3","23101.3","13970","19431","2310.13","10","1397","762","151.13","23101.3","0","1","26301.3","1","356194446520182","G0NF42AQ0D4Y","admins","2025-06-22 11:35:20","2025-06-22 11:36:47","admins"
"68","REQ2506-00068","353910101880485","Apple","iPhone 11 Pro Max 256 Gb สีทอง","12500","12","256 Gb","2","2500","10000","0.6","6000","1000","17000","1190","18190","11000","15300","1819","10","1100","600","119","18190","0","1","20690","1","353910101880485","FK1ZGSLUN710","admins","2025-06-22 13:09:00","2025-06-22 13:13:38","admins"
"69","REQ2506-00069","355786378356757","Apple","iPhone 13 Pro 128 Gb สีขาว","17900","4","128 Gb","2","3600","14300","0.6","8580","1430","24310","1701.7","26011.7","15730","21879","2601.17","10","1573","858","170.17","26011.7","0","1","29611.7","1","355786378356757","HKQM9JHQMN","admins","2025-06-25 12:49:16","2025-06-25 12:50:58","admins"
"70","REQ2506-00070","353652735859200","Apple","iPhone 13 Pro Max 256 Gb สีดำ","21900","5","256 Gb","2","4400","17500","0.6","10500","1750","29750","2082.5","31832.5","19250","26775","3183.25","10","1925","1050","208.25","31832.5","0","1","36232.5","1","353652735859200","LNHGPRYWDW","admins","2025-06-25 14:07:34","2025-06-25 14:09:06","admins"
"71","REQ2506-00071","357514599561973","Apple","iPhone 13 128 Gb สีมิดไนท์","15900","27","128 Gb","1","4800","11100","0.6","6660","1110","18870","1320.9","20190.9","12210","16983","2019.09","10","1221","666","132.09","20190.9","0","1","24990.9","1","357514599561973","LJPGK196YG","admins","2025-06-27 11:17:35","2025-06-27 11:18:49","admins"
"72","REQ2506-00072","357514592506371","Apple","iPhone 13 128 Gb สีขาว","15900","4","128 Gb","1","4800","11100","0.6","6660","1110","18870","1320.9","20190.9","12210","16983","2019.09","10","1221","666","132.09","20190.9","0","1","24990.9","1","357514592506371","CLQ14VWVMG","admins","2025-06-27 18:35:21","2025-06-27 18:36:31","admins"
"73","REQ2506-00073","359206409383163","Apple","iPhone 13 Pro 128 Gb สีกราไฟต์","17900","13","128 Gb","2","3600","14300","0.6","8580","1430","24310","1701.7","26011.7","15730","21879","2601.17","10","1573","858","170.17","26011.7","0","1","29611.7","1","359206409383163","T47TDW6T23","admins","2025-06-28 12:03:59","2025-06-28 12:04:18","admins"
"74","REQ2506-00074","352925113821252","Apple","iPhone 11 128 Gb สีขาว","10000","4","128 Gb","2","2000","8000","0.6","4800","800","13600","952","14552","8800","12240","1455.2","10","880","480","95.2","14552","0","1","16552","1","352925113821252","DNPCF274N73F","admins","2025-06-28 14:47:37","2025-06-28 14:48:47","admins"
"75","REQ2506-00075","355004345673480","Apple","iPhone 12 64 Gb สีดำ","11000","5","64 Gb","2","2200","8800","0.6","5280","880","14960","1047.2","16007.2","9680","13464","1600.72","10","968","528","104.72","16007.2","0","1","18207.2","1","355004345673480","FFMLVGAE0FON","admins","2025-06-28 16:04:53","2025-06-28 16:05:11","admins"
"76","REQ2506-00076","353838102312366","Apple","iPhone 11 Pro 64 Gb สีมิดไนท์","10000","27","64 Gb","2","2000","8000","0.6","4800","800","13600","952","14552","8800","12240","1455.2","10","880","480","95.2","14552","0","1","16552","1","353838102312366","F17ZHN48N6Y5","admins","2025-06-29 13:13:24","2025-06-29 13:14:29","admins"
"77","REQ2506-00077","350510540903212","Apple","iPhone 12 Pro 256 Gb สีกราไฟต์","14500","13","256 Gb","2","2900","11600","0.6","6960","1160","19720","1380.4","21100.4","12760","17748","2110.04","10","1276","696","138.04","21100.4","0","1","24000.4","1","350510540903212","G6TDW64G0D92","admins","2025-06-29 13:52:04","2025-06-29 13:52:48","admins"
"78","REQ2506-00078","353908106620872","Apple","iPhone 11 Pro Max 256 Gb สีขาว","12500","4","256 Gb","2","2500","10000","0.6","6000","1000","17000","1190","18190","11000","15300","1819","10","1100","600","119","18190","0","1","20690","1","353908106620872","FK1ZV2F1N70Y","admins","2025-06-29 14:27:11","2025-06-29 14:27:55","admins"
"79","REQ2506-00079","351095812893811","Apple","iPhone 15 128 Gb สีดำ","18900","5","128 Gb","2","3800","15100","0.6","9060","1510","25670","1796.9","27466.9","16610","23103","2746.69","10","1661","906","179.69","27466.9","0","1","31266.9","1","351095812893811","L16277X39M","admins","2025-06-29 15:25:07","2025-06-29 15:26:19","admins"
